s|d
자취생인데요.....장보기가 너무 무서워요ㅜ당근한개에 1,500원이라뇨|슬픔
영원히 저희들 곁에서 정말 손쉽게 음식을 만드는 법을 알려주시는 백주부님...|행복
 이것때문에 너무스트레스받는 어자친구한테 뭐라고해야 기분이좀풀릴까요 ㅠㅠ|슬픔
말만 하면 분위기가 그냥 숙연해짐 ㅠㅠ|슬픔
 생신축하합니다~|행복
수고하셨습니다. 염갈량..|행복
 성원에 감사합니다.|행복
뭔데 이렇게 일기를 길게써놨어|중립
문재인 1위나오니깐 똥줄타서 일베 알바들 총출동인가 ㅋ|행복
아침엔 탄수화물 저녁엔 단백질..이렇게 먹으면 됨.|중립
사람 갖고 놀지마|분노
미국이랑 중국이 해를 준다면, 멀리 있는 미국과 가까이 있는 중국 중에 누가 더 위험한가?|중립
신동엽 대상타는거 보려고 이시간까지 봤다.정말 기쁘고 속 시원하다. 신동엽 축하드립니다|행복
가자 여의도로!!|중립
또한 글순서도 엉망진창일것같은 불안한 느낌이 ㅠㅠㅠ|불안
어떻게할방법이없을까요?|불안
초코파이는 글타쳐도 냉동닭은 심하네 지들이나 처먹지|분노
이걸 어떻게 대처해야될지 모르겠어요|불안
축하드려요~~|행복
 오늘은 화요일이네요!!|행복
일단 400일 축하해!!|행복
아니 새해에는 덕담을나누고 좋은일만 생기도록 기원하는 첫날에, 18년이 느닷없이 나와서 완전 열받게만드네.|분노
살맛이 안난다.....|슬픔
승부조작이면 영구제명하고 아니면 승부조작 했다고 욕한 것들 다 벌 받아라.|분노
한국에서 자율운전 하면 차 아작날듯 ㅎㅎㅎ|불안
 무엇을 기준이로 틀렸다 말하나?|분노
 이자식 죽이고 싶었음|분노
위증 걸리면 사형시켜야 구라 안칠꺼다|분노
우리 정말 사귀는 걸까?ㅠ|슬픔
우리 시어머니평범한 50댄데 자꾸 이런글 퍼다날림...|중립
눈물이 ㅡㅜ 웃음이 같이 ㅡㅜ|슬픔
난 한달180버는데 한달밥사먹는데 170나가는데|중립
 친구하나못사귀고 여자한테고백도 못하는 무능함때문에우울하기만합니다..0|슬픔
오! 일독한 만한 기사다|행복
이러다 미국 망하겠다ㅋㅋ|중립
비록 경기내용은 안좋지만....항상 엘지 곁에는 팬이 있다는것을 잊지마시고힘내세요...~~|행복
운동은..무리네요ㅜㅜ|슬픔
상상못할정도는 아니지않나..ㅋㅋㅋ ㅈㅅ|중립
아진짜 w존잼이었다|행복
변명 핑계 집어치우고 다 폐기해라|분노
 앞으로도 좋은음식 소개 부탁드립니다.|행복
 주말알바고 대학로근천데 사람이 왜 안구해지는지 모르겟음....|불안
응 울지말고 얘기해봐|중립
옘병꼴깝떨구있구만 박근혜.|분노
방송을 보며 많이 배우고있습니다|행복
저러다 좀비개 나오는거 아닌가??|중립
어디서 나오는 돈인지 철저하게 밝혀라|분노
어딘가 취업을 하기가 애매해요|불안
중국 어선한테는 찍소리도 못하는데, 국민은 음식도 마음껏 못먹게 하네?|분노
 진짜 훈훈하다|행복
이런새끼들이 기득권을 장악하고있으니 한국은 발전가능성 제로다.|분노
우리나라 자연 생태계 도로를 콘크리트로 막아버리니 앞으로 공기오염으로 강한비가 예상되고 땅속에서는 마그마가 숨을 쉬기위해 나올것이다 앞으로|불안
풍악을울려라~~!!|행복
국민이 고통받은거 생각하면 고문이라도 해야한다고 생각한다.|분노
헐 대박!!!!!!!!!!신곡!!!!!!!!!!!!!!!|행복
화가난다. 진짜|분노
기상청 바퀴벌레들 머리에 물만찼나..짜증날정도로 못맞춤 ㅗ|분노
 근데 그 사건이 계속 생각이나서 미치겠어요|슬픔
술먹고 연락 안되는 너처음은 그럴수 있다 생각해서 넘어갔는데진짜 사람은 고쳐서 쓰는 종족이 아닌가봐,|분노
굳이 출전 안시키는 이유가 꼭 부상에 있다고 생각하진 말아줘.ㅋ|중립
언제나 화이팅하시구 감사합니다~~~|행복
 그중 친박이 최고지.|행복
촛불이 대한민국 망친다.|분노
평생 안 해 보던 음식 만들기를 백주부님 덕분에 관심을가지게 되었습니다.|행복
박수칠때 떠나기는 참 어렵다...|슬픔
김종차관은 이름값 너무 제대로 해버렸네|분노
케릭터가 없어서 베껴도 국내용 입니다.|중립
심해에 사는 물고기를 뭐로 잡은거지?|중립
덴마크 한국 언론 도덕성 쓰레기라 믿을수 없다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|분노
개검찰 공수처 신설 급함해체하라 개검찰 특검가자못믿겠다 개검찰19 개검찰 청사 모이자 검찰해체촛불집회하자|분노
김건모 어머님 너무 잼나요|행복
나이스!!! ㅋㅋㅋㅋㅌㅌ|행복
일반인치고는 잘생긴 얼굴|행복
대한민국 국민의 위대한 승리입니다|행복
아 진짜 안전 불감증 큰일이구나..ㅠㅠ|슬픔
기다리긴 뭘기다려 무혐이 나오면 이해해줄꺼 같냐?|분노
 남을 배려하는 마음이 둘의 결혼식을 더 빛내준 것 같네요.|행복
내가불안해서꾸는걸까..|불안
그래도 너무 멋지드라아라앙♡|행복
공군에 갔다가 우울증 판정나서 병원에서 치료받고는 있지만 매일 약먹는게 고작이고, 약을 먹어도 늘 우울합니다.|슬픔
계엄령 선포되더라도 아무래도 힘으로 청와대 들어가야할 것 같은데요..|불안
계속 해나가야 될지 모르겠어요.|불안
세타엔진 말 많은데 괜찮은가요?|불안
방사능 있는데를 굳이 왜간거임|중립
 우와 이번활동 많~이 수고했어요ㅠㅠ|행복
 대체 이틀동안 무슨일이 있었던걸까요?|불안
와우진짜 오랜만에여기왓어요ㅠㅠ|행복
언제까지 이런 말도안되는 일들로 우리 국민들이 뒷골잡아야 합니까?|분노
 미련이 너무 많아서요...|슬픔
